id,name,species,gender,height,weight,hair_color,eye_color,skin_color,year_born,homeworld,year_died,description,character_key
47,Nien Nunb,Sullustan,Male,1.6,70.0,,Black,Light,43.0,Sullust,,A pilot who co-piloted the Millennium Falcon during the Battle of Endor.,nien_nunb
48,Plo Koon,Kel Dor,Male,1.88,80.0,,Black,Orange,44.0,Dorin,19.0,A Jedi Master known for his unique mask.,plo_koon
49,Saw Gerrera,Human,Male,1.78,75.0,Black,Brown,Dark,48.0,Onderon,0.0,A militant leader in the Rebel Alliance.,saw_gerrera
50,Sebulba,Dug,Male,1.12,40.0,,Red,Brown,32.0,Malastare,,A pod racer with a fierce reputation.,sebulba
51,Shaak Ti,Togruta,Female,1.87,68.0,,Black,Red,43.0,Shili,,A Jedi Master and member of the Jedi High Council.,shaak_ti
52,Shmi Skywalker,Human,Female,1.65,55.0,Brown,Brown,Light,72.0,Tatooine,22.0,The mother of Anakin Skywalker.,shmi_skywalker
53,Wedge Antilles,Human,Male,1.79,80.0,Brown,Brown,Light,21.0,Corellia,,A skilled Rebel pilot.,wedge_antilles
54,Wicket W. Warrick,Ewok,Male,1.0,20.0,Brown,Brown,Brown,23.0,Endor,,An Ewok who helped the Rebel Alliance on Endor.,wicket_w_warrick
55,Zam Wesell,Clawdite,Female,1.78,60.0,Brown,Yellow,Green,32.0,Zolan,22.0,A shape-shifting bounty hunter.,zam_wesell
56,Ahsoka Tano,Togruta,Female,1.88,55.0,,Blue,Orange,36.0,Shili,,A former Jedi Padawan of Anakin Skywalker.,ahsoka_tano
57,Asajj Ventress,Dathomirian,Female,1.7,55.0,,Blue,Pale,57.0,Dathomir,19.0,A former Sith apprentice turned bounty hunter.,asajj_ventress
58,Cad Bane,Duros,Male,1.85,75.0,,Red,Blue,62.0,Duro,,A feared bounty hunter.,cad_bane
59,Captain Rex,Human,Male,1.83,80.0,Blond,Blue,Light,32.0,Kamino,,A clone trooper captain who served under Anakin Skywalker.,captain_rex
60,Savage Opress,Dathomirian,Male,2.18,100.0,,Yellow,Pale,49.0,Dathomir,19.0,The brother of Darth Maul and a powerful Sith apprentice.,savage_opress
61,Hondo Ohnaka,Weequay,Male,1.75,70.0,Black,Brown,Brown,45.0,Sriluur,,A pirate and smuggler.,hondo_ohnaka
62,Pong Krell,Besalisk,Male,2.5,300.0,,Yellow,Green,52.0,Ojom,19.0,A Jedi Master who fell to the dark side.,pong_krell
63,Mother Talzin,Dathomirian,Female,1.7,55.0,Black,Green,Pale,100.0,Dathomir,19.0,A powerful witch and leader of the Nightsisters.,mother_talzin
64,Ezra Bridger,Human,Male,1.75,70.0,Blue,Black,Light,18.0,Lothal,,A Jedi Padawan and member of the Ghost crew.,ezra_bridger
65,Sabine Wren,Human,Female,1.65,50.0,Varied,Brown,Light,21.0,Mandalore,,A Mandalorian artist and warrior.,sabine_wren
66,Kallus,Human,Male,1.88,85.0,Blond,Blue,Light,40.0,Coruscant,,An Imperial agent who defected to the Rebel Alliance.,kallus
67,Grand Admiral Thrawn,Chiss,Male,1.95,85.0,Blue-Black,Red,Blue,50.0,Csilla,,A brilliant tactician and leader in the Imperial Navy.,grand_admiral_thrawn
68,Jyn Erso,Human,Female,1.7,60.0,Brown,Green,Light,22.0,Vallt,0.0,The protagonist of Rogue One and a member of the Rebel Alliance.,jyn_erso
69,Cassian Andor,Human,Male,1.84,75.0,Brown,Brown,Light,26.0,Fest,0.0,A Rebel intelligence officer.,cassian_andor
70,Orson Krennic,Human,Male,1.85,80.0,White,Blue,Light,51.0,Lexrul,0.0,The director of the Empire's Advanced Weapons Research division.,orson_krennic
71,Bodhi Rook,Human,Male,1.8,75.0,Black,Brown,Dark,25.0,Jedha,0.0,A former Imperial pilot who defected to the Rebel Alliance.,bodhi_rook
72,Baze Malbus,Human,Male,1.85,95.0,Black,Brown,Light,52.0,Jedha,0.0,A former Guardian of the Whills and companion to Chirrut Îmwe.,baze_malbus
73,Galen Erso,Human,Male,1.83,75.0,Brown,Brown,Light,54.0,Grange,0.0,A scientist and father of Jyn Erso.,galen_erso
74,Admiral Raddus,Mon Calamari,Male,1.8,72.0,,Orange,Blue,50.0,Mon Cala,0.0,A respected admiral in the Rebel Alliance.,admiral_raddus
75,Dryden Vos,Human,Male,1.85,80.0,Blond,Blue,Light,35.0,Corellia,10.0,A crime lord in the Crimson Dawn syndicate.,dryden_vos
76,Qi'ra,Human,Female,1.7,50.0,Brown,Brown,Light,21.0,Corellia,,A member of the Crimson Dawn syndicate.,qi_ra
77,Enfys Nest,Human,Female,1.68,55.0,Red,Brown,Light,19.0,,,A rebel and leader of the Cloud-Riders.,enfys_nest
78,L3-37,Droid,,1.8,,,Green,Gray,,,10.0,A self-built piloting droid.,l3_37
79,Beckett,Human,Male,1.85,80.0,Brown,Blue,Light,50.0,Glee Anselm,10.0,A criminal and mentor to Han Solo.,beckett
80,Val,Human,Female,1.75,55.0,Black,Brown,Dark,30.0,,10.0,A member of Beckett's crew.,val
81,Rio Durant,Ardennian,Male,1.4,40.0,,Black,Blue,40.0,Ardennia,10.0,A four-armed pilot in Beckett's crew.,rio_durant
82,Din Djarin,Human,Male,1.8,,Brown,Brown,Light,,Aq Vetina,,Mandalorian bounty hunter and foundling guardian of Grogu.,din_djarin
83,Grogu,,Male,0.34,,,Black,Green,41.0,Coruscant,,Force-sensitive foundling protected by Din Djarin.,grogu
84,Bo-Katan Kryze,Human,Female,1.8,,Red-Gold,Green,Light,,Mandalore,,Mandalorian warrior and leader connected to Clan Kryze and the Darksaber.,bo_katan_kryze
85,Moff Gideon,Human,Male,,,,Brown,Dark,,Mandalore,,Imperial remnant leader who pursued Grogu and wielded the Darksaber.,moff_gideon
86,Greef Karga,Human,Male,,,,Brown,Dark,,Nevarro,,Former bounty guild magistrate who became High Magistrate of Nevarro.,greef_karga
87,The Armorer,Human,Female,,,,,Light,,Mandalore,,Leader and keeper of tradition for a Mandalorian covert.,the_armorer
88,Paz Vizsla,Human,Male,,,,,Light,,Mandalore,,Heavy infantry Mandalorian and member of Clan Vizsla.,paz_vizsla
89,Kuiil,Ugnaught,Male,,,,,Brown,,Arvala-7,,Ugnaught moisture farmer and ally of Din Djarin.,kuiil
90,Peli Motto,Human,Female,,,Brown,Brown,Light,,Tatooine,,Tatooine mechanic and ally of Din Djarin.,peli_motto
91,Dr. Pershing,Human,Male,,,Black,Brown,Light,,,,Scientist connected to Imperial remnant cloning research.,dr_pershing
92,Fennec Shand,Human,Female,,,Black,Brown,Light,,,,Elite assassin and later ally of Boba Fett.,fennec_shand
93,Cobb Vanth,Human,Male,,,Brown,Brown,Light,,Tatooine,,Marshal of Mos Pelgo/Freetown who wore recovered Mandalorian armor.,cobb_vanth
94,Luthen Rael,Human,Male,,,Gray,Blue,Light,,Coruscant,,Antiquities dealer and secret architect of early Rebel activity.,luthen_rael
95,Bix Caleen,Human,Female,,,Brown,Brown,Light,,Ferrix,,Ferrix mechanic and friend of Cassian Andor.,bix_caleen
96,Dedra Meero,Human,Female,,,Blonde,Blue,Light,,Coruscant,,Ambitious Imperial Security Bureau supervisor.,dedra_meero
97,Syril Karn,Human,Male,,,Brown,Blue,Light,,,,Former Pre-Mor security inspector obsessed with Cassian Andor.,syril_karn
98,Maarva Andor,Human,Female,,,Gray,Blue,Light,,Ferrix,,Cassian Andor's adoptive mother and Ferrix community figure.,maarva_andor
99,Vel Sartha,Human,Female,,,Brown,Brown,Light,,,,Rebel operative who led the Aldhani heist team.,vel_sartha
100,Cinta Kaz,Human,Female,,,Black,Brown,Light,,,,Committed rebel operative and member of the Aldhani team.,cinta_kaz
101,Kleya Marki,Human,Female,,,Brown,Brown,Light,,Coruscant,,Luthen Rael's trusted assistant and rebel network operative.,kleya_marki
102,Kino Loy,Human,Male,,,Gray,Blue,Light,,Narkina 5,,Prison floor manager who helped spark an escape from Narkina 5.,kino_loy
103,Brasso,Human,Male,,,Brown,Brown,Light,,Ferrix,,Cassian Andor's loyal friend on Ferrix.,brasso
104,Reva,Human,Female,,,Black,Brown,Dark,,,,"The Third Sister, an Inquisitor hunting Obi-Wan Kenobi.",reva
105,The Grand Inquisitor,Pau'an,Male,,,Black,Yellow,Pale,,,,Leader of the Inquisitorius during the Imperial era.,the_grand_inquisitor
106,Fifth Brother Inquisitor,,Male,,,Black,Yellow,Gray,,,,Inquisitor active in the hunt for surviving Jedi.,fifth_brother_inquisitor
107,Owen Lars,Human,Male,,,Brown,Blue,Light,,Tatooine,0.0,Moisture farmer and uncle of Luke Skywalker.,owen_lars
108,Baylan Skoll,Human,Male,,,Gray,Blue,Light,,,,Former Jedi turned mercenary who sought power beyond the known galaxy.,baylan_skoll
109,Shin Hati,Human,Female,,,Blonde,Blue,Light,,,,Baylan Skoll's apprentice and a dark-side Force user.,shin_hati
110,Morgan Elsbeth,Dathomirian,Female,,,Black,Brown,Light,,Corvus,,Magistrate and ally of Grand Admiral Thrawn.,morgan_elsbeth
111,Captain Enoch,Human,Male,,,,,,,,,Captain of Thrawn's guard aboard the Chimaera.,captain_enoch
112,Marrok,Human,Male,,,,,,,,,Inquisitor and mercenary serving Morgan Elsbeth.,marrok
