id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,mglt,starship_class,pilots,films,pilot_count,film_count,starship_key,pilot_keys,film_keys
25,Sith Speeder,FC-20 speeder bike,Razalon,,2.0,180.0,1.0,0.0,10.0,1 day,,,Speeder,Darth Maul,The Phantom Menace,1,1,sith_speeder,darth_maul,the_phantom_menace
26,Speeder Bike,74-Z speeder bike,Aratech Repulsor Company,,3.0,360.0,1.0,1.0,4.0,2 days,,,Speeder,,Return of the Jedi,0,1,speeder_bike,,return_of_the_jedi
27,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,,15.2,,3.0,11.0,180000.0,1 month,1.5,60.0,Sloop,Count Dooku,Attack of the Clones,1,1,solar_sailer,count_dooku,attack_of_the_clones
28,Geonosian Starfighter,Nantex-class territorial defense starfighter,Huppla Pasa Tisc Shipwrights Collective,,9.8,1200.0,1.0,0.0,30.0,2 days,1.0,100.0,Starfighter,,Attack of the Clones,0,1,geonosian_starfighter,,attack_of_the_clones
29,Hound's Tooth,YT-2000 light freighter,Corellian Engineering Corporation,,20.0,850.0,6.0,10.0,500000.0,2 months,1.0,75.0,Light freighter,Bossk,The Clone Wars,1,1,hound_s_tooth,bossk,the_clone_wars
30,Scimitar,Sith Infiltrator,Republic Sienar Systems,,26.5,1180.0,1.0,6.0,150000.0,1 month,1.5,80.0,Starfighter,Darth Maul,The Phantom Menace,1,1,scimitar,darth_maul,the_phantom_menace
31,Tie Interceptor,TIE/in interceptor,Sienar Fleet Systems,,9.6,1250.0,1.0,0.0,75.0,2 days,1.0,110.0,Starfighter,,Return of the Jedi,0,1,tie_interceptor,,return_of_the_jedi
32,Naboo Royal Cruiser,J-type diplomatic barge,Theed Palace Space Vessel Engineering Corps,,115.0,920.0,8.0,50.0,500000.0,2 months,1.8,75.0,Yacht,Padme Amidala,Attack of the Clones,1,1,naboo_royal_cruiser,padme_amidala,attack_of_the_clones
33,X-34 Landspeeder,X-34,SoroSuub Corporation,,3.4,250.0,1.0,1.0,5.0,2 days,,,Landspeeder,Luke Skywalker,A New Hope,1,1,x_34_landspeeder,luke_skywalker,a_new_hope
34,Snowspeeder,T-47 airspeeder,Incom Corporation,,5.3,650.0,2.0,0.0,10.0,2 days,,,Airspeeder,Luke Skywalker,The Empire Strikes Back,1,1,snowspeeder,luke_skywalker,the_empire_strikes_back
35,The Ghost,VCX-100 light freighter,Corellian Engineering Corporation,,43.9,1025.0,4.0,6.0,70000.0,2 months,1.0,70.0,Light freighter,Hera Syndulla,Star Wars Rebels,1,1,the_ghost,hera_syndulla,star_wars_rebels
36,Phantom,VCX-series auxiliary starfighter,Corellian Engineering Corporation,,14.1,1050.0,1.0,6.0,40000.0,1 month,1.0,90.0,Auxiliary starfighter,Ezra Bridger,Star Wars Rebels,1,1,phantom,ezra_bridger,star_wars_rebels
37,Outrider,YT-2400 light freighter,Corellian Engineering Corporation,,21.5,950.0,2.0,6.0,70000.0,2 months,0.75,70.0,Light freighter,Dash Rendar,Shadows of the Empire,1,1,outrider,dash_rendar,shadows_of_the_empire
38,Razor Crest,ST-70 Assault Ship,Kuat Drive Yards,55000.0,24.0,800.0,1.0,2.0,50000.0,1 month,2.0,75.0,Patrol craft,Din Djarin,The Mandalorian,1,1,razor_crest,din_djarin,the_mandalorian
39,Naboo Yacht,J-type star skiff,Theed Palace Space Vessel Engineering Corps,,29.2,920.0,8.0,30.0,300000.0,1 month,1.8,75.0,Yacht,Padme Amidala,Revenge of the Sith,1,1,naboo_yacht,padme_amidala,revenge_of_the_sith
40,U-wing,UT-60D,Incom Corporation,,24.2,950.0,4.0,8.0,40000.0,1 month,1.0,80.0,Transport,Cassian Andor,Rogue One,1,1,u_wing,cassian_andor,rogue_one
41,TIE Advanced x1,TIE Advanced x1,Sienar Fleet Systems,,9.2,1200.0,1.0,0.0,75.0,2 days,1.0,105.0,Starfighter,Darth Vader,A New Hope,1,1,tie_advanced_x1,darth_vader,a_new_hope
42,J-type 327 Nubian,J-type 327,Theed Palace Space Vessel Engineering Corps,,76.0,920.0,8.0,20.0,2000000.0,1 month,1.8,75.0,Yacht,Padme Amidala,The Phantom Menace,1,1,j_type_327_nubian,padme_amidala,the_phantom_menace
43,Havoc Marauder,Omicron-class attack shuttle,Cygnus Spaceworks,,22.3,1050.0,2.0,12.0,70000.0,1 month,1.0,70.0,Attack shuttle,Clone Force 99,The Bad Batch,1,1,havoc_marauder,clone_force_99,the_bad_batch
44,Luthen's Ship,Fondor Haulcraft,Fondor Shipyards,,34.8,1000.0,1.0,6.0,100000.0,1 month,1.0,80.0,Haulcraft,Luthen Rael,Andor,1,1,luthen_s_ship,luthen_rael,andor
45,Jedi Starfighter,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,,8.0,1150.0,1.0,0.0,60.0,2 days,1.0,90.0,Interceptor,Obi-Wan Kenobi,Attack of the Clones,1,1,jedi_starfighter,obi_wan_kenobi,attack_of_the_clones
46,Vulture Droid,Variable Geometry Self-Propelled Battle Droid,Haor Chall Engineering,,3.5,1200.0,,,,,1.0,100.0,Starfighter,,The Phantom Menace,0,1,vulture_droid,,the_phantom_menace
47,Tri-Fighter,Droid Tri-Fighter,"Colla Designs, Phlac-Arphocc Automata Industries",,5.4,1180.0,,,,,1.0,100.0,Starfighter,,Revenge of the Sith,0,1,tri_fighter,,revenge_of_the_sith
48,Hyena Bomber,Baktoid Armor Workshop,"Colla Designs, Phlac-Arphocc Automata Industries",,14.9,1180.0,,,,,1.0,100.0,Starfighter,,The Clone Wars,0,1,hyena_bomber,,the_clone_wars
49,Droid Gunship,Heavy Missile Platform,Baktoid Fleet Ordnance,,12.0,950.0,,,,,1.0,100.0,Gunship,,The Clone Wars,0,1,droid_gunship,,the_clone_wars
50,Malevolence,Subjugator-class heavy cruiser,Free Dac Volunteers Engineering Corps,,4845.0,975.0,216.0,0.0,14000000.0,6 years,1.5,60.0,Heavy cruiser,General Grievous,The Clone Wars,1,1,malevolence,general_grievous,the_clone_wars
51,Invisible Hand,Providence-class Dreadnought,Free Dac Volunteers Engineering Corps,,1088.0,950.0,600.0,0.0,15000000.0,6 years,1.5,60.0,Dreadnought,General Grievous,Revenge of the Sith,1,1,invisible_hand,general_grievous,revenge_of_the_sith
52,Droid Control Ship,Lucrehulk-class battleship,Hoersch-Kessel Drive,,3170.0,950.0,150.0,0.0,55000000.0,6 years,2.0,60.0,Battleship,,The Phantom Menace,0,1,droid_control_ship,,the_phantom_menace
53,N-1 Starfighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000.0,11.0,1100.0,1.0,1.0,,,1.0,,Starfighter,"Din Djarin, Anakin Skywalker","The Mandalorian, The Phantom Menace",2,2,n_1_starfighter,"din_djarin, anakin_skywalker","the_mandalorian, the_phantom_menace"
54,Fondor Haulcraft,Modified Fondor haulcraft,,125000.0,22.0,,1.0,4.0,,,1.0,,Haulcraft,Luthen Rael,Andor,1,1,fondor_haulcraft,luthen_rael,andor
55,Ahsoka's T-6 Jedi Shuttle,T-6 shuttle,,250000.0,28.0,,2.0,4.0,,,1.0,,Shuttle,"Ahsoka Tano, Huyang",Ahsoka,2,1,ahsoka_s_t_6_jedi_shuttle,"ahsoka_tano, huyang",ahsoka
56,The Eye of Sion,Super-hyperspace transport ring,,0.0,220.0,,1.0,0.0,,,,,Transport ring,Morgan Elsbeth,Ahsoka,1,1,the_eye_of_sion,morgan_elsbeth,ahsoka
